215360.KQ,우리산업,자동차 신품 부품 제조업
153490.KQ,우리이앤엘,반도체 제조업
032940.KQ,원익,기계장비 및 관련 물품 도매업
012620.KQ,원일특강,1차 철강 제조업
008370.KQ,원풍,플라스틱제품 제조업
101160.KQ,월덱스,전자부품 제조업
196700.KQ,웹스,합성고무 및 플라스틱 물질 제조업
039790.KQ,위노바,기타 화학제품 제조업
136540.KQ,윈스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
192390.KQ,윈하이텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
036200.KQ,유니셈,특수 목적용 기계 제조업
011320.KQ,유니크,자동차 신품 부품 제조업
206650.KQ,유바이오로직스,자연과학 및 공학 연구개발업
032620.KQ,유비케어,소프트웨어 개발 및 공급업
054930.KQ,유신,"건축기술, 엔지니어링 및 관련 기술 서비스업"
056080.KQ,유진로봇,특수 목적용 기계 제조업
067920.KQ,이글루시큐리티,소프트웨어 개발 및 공급업
073490.KQ,이노와이어리스,통신 및 방송 장비 제조업
215790.KQ,이노인스트루먼트,통신 및 방송 장비 제조업
225440.KQ,이베스트스팩3호,기타 금융업
060150.KQ,인선이엔티,폐기물 처리업
037330.KQ,인지디스플레,전자부품 제조업
216050.KQ,인크로스,광고업
048530.KQ,인트론바이오,기초 의약물질 및 생물학적 제제 제조업
175140.KQ,인포마크,통신 및 방송 장비 제조업
071200.KQ,인피니트헬스케어,소프트웨어 개발 및 공급업
101930.KQ,인화정공,선박 및 보트 건조업
208140.KQ,정다운,"도축, 육류 가공 및 저장 처리업"
019570.KQ,제미니투자,신탁업 및 집합투자업
033320.KQ,제이씨현시스템,기계장비 및 관련 물품 도매업
094970.KQ,제이엠티,전자부품 제조업
082270.KQ,젬백스,특수 목적용 기계 제조업
111820.KQ,지와이커머스,기타 정보 서비스업
096240.KQ,청담러닝,일반 교습 학원
071850.KQ,캐스텍코리아,자동차 신품 부품 제조업
093320.KQ,케이아이엔엑스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
256940.KQ,케이피에스,특수 목적용 기계 제조업
104540.KQ,코렌텍,의료용 기기 제조업
027050.KQ,코리아나,기타 화학제품 제조업
101670.KQ,코리아에스이,"구조용 금속제품, 탱크 및 증기발생기 제조업"
183300.KQ,코미코,특수 목적용 기계 제조업
166480.KQ,코아스템,의약품 제조업
033290.KQ,코웰패션,의복 액세서리 제조업
121850.KQ,코이즈,플라스틱제품 제조업
052330.KQ,코텍,영상 및 음향기기 제조업
225650.KQ,쿠첸,가정용 기기 제조업
051780.KQ,큐로홀딩스,음·식료품 및 담배 도매업
058530.KQ,크레아플래닛,특수 목적용 기계 제조업
218710.KQ,키움스팩3호,금융 지원 서비스업
054780.KQ,키이스트,"영화, 비디오물, 방송프로그램 제작 및 배급업"
054450.KQ,텔레칩스,반도체 제조업
084730.KQ,팅크웨어,통신 및 방송 장비 제조업
034230.KQ,파라다이스,유원지 및 기타 오락관련 서비스업
038950.KQ,파인디지털,통신 및 방송 장비 제조업
043090.KQ,팜스웰바이오,기타 전문 도매업
060900.KQ,퍼시픽바이오,석유 정제품 제조업
005670.KQ,푸드웰,"과실, 채소 가공 및 저장 처리업"
007330.KQ,푸른저축은행,은행 및 저축기관
023900.KQ,풍국주정,알코올음료 제조업
002230.KQ,피에스텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
006140.KQ,피제이전자,의료용 기기 제조업
087600.KQ,픽셀플러스,전자부품 제조업
230240.KQ,하나금융7호SPAC,금융 지원 서비스업
149980.KQ,하이로닉,의료용 기기 제조업
013030.KQ,하이록코리아,1차 철강 제조업
235010.KQ,하이에이아이1호스팩,금융 지원 서비스업
271740.KQ,한국제5호스팩,금융 지원 서비스업
007770.KQ,한일화학,기초 화학물질 제조업
219860.KQ,한화에이스스팩2호,금융 지원 서비스업
279410.KQ,한화에이스스팩4호,금융 지원 서비스업
102210.KQ,해덕파워웨이,선박 및 보트 건조업
220630.KQ,해마로푸드서비스,음·식료품 및 담배 도매업
092300.KQ,현우산업,전자부품 제조업
039610.KQ,화성밸브,일반 목적용 기계 제조업
205470.KQ,휴마시스,의료용품 및 기타 의약 관련제품 제조업
028080.KQ,휴맥스홀딩스,기타 금융업
084110.KQ,휴온스글로벌,기타 금융업
010240.KQ,흥국,특수 목적용 기계 제조업
037440.KQ,희림,"건축기술, 엔지니어링 및 관련 기술 서비스업"
023460.KQ,CNH,신탁업 및 집합투자업
065770.KQ,CS,통신 및 방송 장비 제조업
241520.KQ,DSC인베스트먼트,신탁업 및 집합투자업
079190.KQ,EMW,통신 및 방송 장비 제조업
032860.KQ,GMR 머티리얼즈,"해체, 선별 및 원료 재생업"
028150.KQ,GS홈쇼핑,텔레비전 방송업
078150.KQ,HB테크놀러지,특수 목적용 기계 제조업
122450.KQ,KMH,텔레비전 방송업
052900.KQ,KMH하이텍,플라스틱제품 제조업
218410.KQ,RFHIC,통신 및 방송 장비 제조업
255220.KQ,SG,기타 비금속 광물제품 제조업
040610.KQ,SG&G,자동차 신품 부품 제조업
049470.KQ,SGA,소프트웨어 개발 및 공급업
217730.KQ,강스템바이오텍,기초 의약물질 및 생물학적 제제 제조업
049720.KQ,고려신용정보,기타 사업지원 서비스업
227950.KQ,골든브릿지제4호스팩,금융 지원 서비스업
242040.KQ,교보비엔케이스팩,금융 지원 서비스업
900070.KQ,글로벌에스엠,기타 금융업
151910.KQ,나노스,사진장비 및 광학기기 제조업
085910.KQ,네오티스,자동차 신품 부품 제조업
089140.KQ,넥스턴,특수 목적용 기계 제조업
060260.KQ,뉴보텍,플라스틱제품 제조업
144960.KQ,뉴파워프라즈마,특수 목적용 기계 제조업
222810.KQ,닉스테크,소프트웨어 개발 및 공급업
068240.KQ,다원시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
067080.KQ,대화제약,의약품 제조업
067990.KQ,도이치모터스,자동차 판매업
088130.KQ,동아엘텍,특수 목적용 기계 제조업
060380.KQ,동양에스텍,1차 철강 제조업
094170.KQ,동운아나텍,반도체 제조업
217620.KQ,디딤,음식점업
187870.KQ,디바이스이엔지,특수 목적용 기계 제조업
043360.KQ,디지아이,컴퓨터 및 주변장치 제조업
042510.KQ,라온시큐어,소프트웨어 개발 및 공급업
039980.KQ,리노스,"섬유, 의복, 신발 및 가죽제품 소매업"
098120.KQ,마이크로컨텍솔,전자부품 제조업
241770.KQ,메카로,기타 화학제품 제조업
087260.KQ,모바일어플라이언스,소프트웨어 개발 및 공급업
206640.KQ,바디텍메드,의료용품 및 기타 의약 관련제품 제조업
064550.KQ,바이오니아,의료용품 및 기타 의약 관련제품 제조업
177350.KQ,베셀,특수 목적용 기계 제조업
008470.KQ,부스타,"구조용 금속제품, 탱크 및 증기발생기 제조업"
141000.KQ,비아트론,특수 목적용 기계 제조업
054220.KQ,비츠로시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
143240.KQ,사람인에이치알,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
018310.KQ,삼목에스폼,"구조용 금속제품, 탱크 및 증기발생기 제조업"
263810.KQ,상신전자,전자부품 제조업
042600.KQ,새로닉스,전자부품 제조업
079650.KQ,서산,"시멘트, 석회, 플라스터 및 그 제품 제조업"
093920.KQ,서원인텍,통신 및 방송 장비 제조업
122690.KQ,서진오토모티브,자동차 신품 부품 제조업
123420.KQ,선데이토즈,소프트웨어 개발 및 공급업
037350.KQ,성도이엔지,"건축기술, 엔지니어링 및 관련 기술 서비스업"
214310.KQ,세미콘라이트,반도체 제조업
067770.KQ,세진티에스,전자부품 제조업
208370.KQ,셀바스헬스케어,의료용 기기 제조업
068270.KQ,셀트리온,기초 의약물질 및 생물학적 제제 제조업
068760.KQ,셀트리온제약,의약품 제조업
091990.KQ,셀트리온헬스케어,기타 전문 도매업
099440.KQ,스맥,특수 목적용 기계 제조업
020710.KQ,시공테크,전문디자인업
215600.KQ,신라젠,자연과학 및 공학 연구개발업
225590.KQ,신영스팩2호,금융 지원 서비스업
277480.KQ,신한제4호스팩,금융 지원 서비스업
