001260.KS,남광토건,토목 건설업
006570.KS,대림통상,기타 금속 가공제품 제조업
117580.KS,대성에너지,연료용 가스 제조 및 배관공급업
001440.KS,대한전선,절연선 및 케이블 제조업
003490.KS,대한항공,항공 여객 운송업
005880.KS,대한해운,해상 운송업
008000.KS,도레이케미칼,화학섬유 제조업
005960.KS,동부건설,토목 건설업
058730.KS,동아에스텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
092780.KS,동양피스톤,자동차용 엔진 및 자동차 제조업
210540.KS,디와이파워,특수 목적용 기계 제조업
115390.KS,락앤락,플라스틱제품 제조업
032350.KS,롯데관광개발,여행사 및 기타 여행보조 서비스업
005300.KS,롯데칠성음료,비알코올음료 및 얼음 제조업
015540.KS,메디플란트,기타 사업지원 서비스업
009200.KS,무림페이퍼,"펄프, 종이 및 판지 제조업"
006800.KS,미래에셋대우,금융 지원 서비스업
107590.KS,미원홀딩스,기타 금융업
134380.KS,미원화학,기타 화학제품 제조업
001340.KS,백광산업,기초 화학물질 제조업
100220.KS,비상교육,"서적, 잡지 및 기타 인쇄물 출판업"
007160.KS,사조산업,어로 어업
005090.KS,삼광글라스,유리 및 유리제품 제조업
010140.KS,삼성중공업,선박 및 보트 건조업
006110.KS,삼아알미늄,1차 비철금속 제조업
272550.KS,삼양패키징,플라스틱제품 제조업
001880.KS,삼호,건물 건설업
010960.KS,삼호개발,기반조성 및 시설물 축조관련 전문공사업
004450.KS,삼화왕관,기타 금속 가공제품 제조업
009470.KS,삼화전기,전자부품 제조업
017390.KS,서울도시가스,연료용 가스 제조 및 배관공급업
011300.KS,성안,직물직조 및 직물제품 제조업
004360.KS,세방,도로 화물 운송업
003030.KS,세아제강,1차 철강 제조업
021820.KS,세원정공,자동차 신품 부품 제조업
112610.KS,씨에스윈드,"구조용 금속제품, 탱크 및 증기발생기 제조업"
020560.KS,아시아나항공,항공 여객 운송업
122900.KS,아이마켓코리아,상품 종합 도매업
003060.KS,에이프로젠제약,의약품 제조업
138250.KS,엔에스쇼핑,무점포 소매업
009970.KS,영원무역홀딩스,기타 금융업
006740.KS,영풍제지,"골판지, 종이 상자 및 종이용기 제조업"
001800.KS,오리온홀딩스,기타 식품 제조업
118000.KS,우리들휴브레인,기계장비 및 관련 물품 도매업
095720.KS,웅진씽크빅,초등 교육기관
005820.KS,원림,편조원단 제조업
011330.KS,유니켐,"가죽, 가방 및 유사제품 제조업"
000700.KS,유수홀딩스,회사 본부 및 경영 컨설팅 서비스업
007660.KS,이수페타시스,전자부품 제조업
003200.KS,일신방직,방적 및 가공사 제조업
081000.KS,일진다이아,기타 화학제품 제조업
030000.KS,제일기획,광고업
001560.KS,제일연마,기타 비금속 광물제품 제조업
006220.KS,제주은행,은행 및 저축기관
004700.KS,조광피혁,"가죽, 가방 및 유사제품 제조업"
000480.KS,조선내화,"내화, 비내화 요업제품 제조업"
185750.KS,종근당,의약품 제조업
063160.KS,종근당바이오,의약품 제조업
010640.KS,진양폴리우레탄,기초 화학물질 제조업
002380.KS,케이씨씨,기타 화학제품 제조업
007810.KS,코리아써키트,전자부품 제조업
003690.KS,코리안리,재 보험업
044820.KS,코스맥스비티아이,기타 금융업
004100.KS,태양금속공업,자동차 신품 부품 제조업
036580.KS,팜스코,"곡물가공품, 전분 및 전분제품 제조업"
033180.KS,필룩스,전자부품 제조업
019490.KS,하이트론씨스템즈,영상 및 음향기기 제조업
000140.KS,하이트진로홀딩스,기타 금융업
003350.KS,한국화장품제조,기타 화학제품 제조업
014680.KS,한솔케미칼,기초 화학물질 제조업
003300.KS,한일시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업"
130660.KS,한전산업,"건축기술, 엔지니어링 및 관련 기술 서비스업"
180640.KS,한진칼,기타 금융업
088350.KS,한화생명,보험업
012450.KS,한화테크윈,"항공기,우주선 및 부품 제조업"
267250.KS,현대로보틱스,기타 금융업
079430.KS,현대리바트,가구 제조업
012630.KS,현대산업개발,건물 건설업
126560.KS,현대에이치씨엔,텔레비전 방송업
