주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,238106.0,223117.0,222812.0,227437.0,233873.0,233694.0,237276.0,241768.0
영업이익,8393.0,-4066.0,12929.0,14400.0,13753.0,13846.0,14108.0,15033.0
영업이익(발표기준),8393.0,-2917.0,12929.0,14400.0,13753.0,,,
세전계속사업이익,-53.0,-13286.0,7195.0,11270.0,8370.0,11208.0,11165.0,12413.0
당기순이익,-603.0,-9662.0,6313.0,7978.0,5615.0,7864.0,8179.0,9046.0
당기순이익(지배),-1624.0,-10550.0,5530.0,7111.0,4767.0,7037.0,7353.0,8233.0
당기순이익(비지배),1022.0,888.0,783.0,868.0,848.0,,,
자산총계,348465.0,337755.0,293412.0,305877.0,295806.0,304883.0,313650.0,320068.0
부채총계,219816.0,219852.0,171757.0,177930.0,165043.0,163584.0,166422.0,166172.0
자본총계,128649.0,117903.0,121655.0,127948.0,130764.0,140810.0,146067.0,152294.0
자본총계(지배),117552.0,103410.0,108451.0,114419.0,116846.0,126261.0,130874.0,136494.0
자본총계(비지배),11097.0,14493.0,13204.0,13528.0,13918.0,,,
자본금,15645.0,15645.0,15645.0,15645.0,15645.0,15643.0,15643.0,15643.0
영업활동현금흐름,41111.0,19164.0,42300.0,47708.0,38777.0,42718.0,43675.0,42261.0
투자활동현금흐름,-37826.0,-31710.0,-24019.0,-34850.0,-34832.0,-33866.0,-36519.0,-34969.0
재무활동현금흐름,-3118.0,10717.0,-11640.0,-9433.0,-13635.0,-1564.0,-2308.0,-3197.0
CAPEX,30882.0,28529.0,31157.0,27643.0,24422.0,27215.0,29784.0,28191.0
FCF,10229.0,-9365.0,11142.0,20064.0,14355.0,12325.0,13559.0,11751.0
이자발생부채,115521.0,128704.0,87911.0,83015.0,68605.0,,,
영업이익률,3.52,-1.82,5.8,6.33,5.88,5.92,5.95,6.22
순이익률,-0.25,-4.33,2.83,3.51,2.4,3.36,3.45,3.74
ROE(%),-1.35,-9.55,5.22,6.38,4.12,5.79,5.72,6.16
ROA(%),-0.17,-2.82,2.0,2.66,1.87,2.62,2.65,2.86
부채비율,170.87,186.47,141.18,139.06,126.21,116.17,113.94,109.11
자본유보율,734.24,639.91,671.3,709.33,721.98,,,
EPS(원),-622.0,-4040.0,2118.0,2723.0,1826.0,2695.0,2816.0,3153.0
PER(배),-50.72,-7.73,13.34,10.8,16.57,10.72,10.26,9.17
BPS(원),48199.0,42232.0,44293.0,46707.0,47673.0,51649.0,53536.0,55835.0
PBR(배),0.65,0.74,0.64,0.63,0.63,0.56,0.54,0.52
현금DPS(원),800.0,0.0,500.0,800.0,1000.0,1094.0,1188.0,1283.0
현금배당수익률,2.54,0.0,1.77,2.72,3.31,3.78,4.11,4.44
현금배당성향(%),-120.12,0.0,22.14,27.56,51.41,0.41,0.42,0.41
발행주식수(보통주),261111808.0,261111808.0,261111808.0,261111808.0,261111808.0,,,
