주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,216161.0,203124.0,169024.0,164703.0,175852.0,188835.0,199041.0,209968.0
영업이익,11352.0,9979.0,706.0,9243.0,11799.0,14471.0,15113.0,16186.0
영업이익(발표기준),11549.0,10081.0,2646.0,9172.0,11799.0,,,
세전계속사업이익,1986.0,-1374.0,-16278.0,17.0,3413.0,6075.0,7162.0,7699.0
당기순이익,1302.0,332.0,-17008.0,504.0,459.0,3141.0,4203.0,4653.0
당기순이익(지배),1236.0,653.0,-3912.0,1966.0,406.0,1607.0,2259.0,2971.0
당기순이익(비지배),66.0,-321.0,-13096.0,-1462.0,54.0,,,
자산총계,311660.0,313693.0,315563.0,286648.0,287690.0,299618.0,307195.0,314823.0
부채총계,221081.0,224670.0,231628.0,207639.0,211656.0,222128.0,226722.0,230820.0
자본총계,90580.0,89023.0,83935.0,79009.0,76034.0,77804.0,80817.0,84569.0
자본총계(지배),30385.0,28894.0,25770.0,23915.0,24741.0,24916.0,25900.0,27927.0
자본총계(비지배),60195.0,60129.0,58165.0,55094.0,51294.0,,,
자본금,1329.0,1348.0,1348.0,1348.0,1348.0,1349.0,1349.0,1349.0
영업활동현금흐름,3834.0,6468.0,-178.0,9250.0,6770.0,8376.0,10924.0,11627.0
투자활동현금흐름,-11386.0,-6110.0,-4458.0,10612.0,-5560.0,-7005.0,-7582.0,-8700.0
재무활동현금흐름,-2701.0,4258.0,11137.0,-22538.0,2899.0,683.0,-2272.0,-3159.0
CAPEX,5038.0,4533.0,4075.0,5043.0,3948.0,3969.0,4262.0,5017.0
FCF,-1205.0,1935.0,-4252.0,4207.0,2822.0,4372.0,6023.0,5184.0
이자발생부채,123800.0,126431.0,136621.0,115513.0,118299.0,,,
영업이익률,5.25,4.91,0.42,5.61,6.71,7.66,7.59,7.71
순이익률,0.6,0.16,-10.06,0.31,0.26,1.66,2.11,2.22
ROE(%),4.3,2.21,-14.31,7.91,1.67,6.47,8.89,11.04
ROA(%),0.42,0.11,-5.41,0.17,0.16,1.07,1.39,1.5
부채비율,244.07,252.37,275.96,262.81,278.37,285.5,280.54,272.94
자본유보율,2113.69,2048.21,1628.56,1660.09,1614.27,,,
EPS(원),4703.0,2478.0,-14671.0,7384.0,1594.0,6536.0,9185.0,12079.0
PER(배),29.66,41.78,-6.03,14.22,70.89,17.9,12.74,9.69
BPS(원),145137.0,140419.0,128821.0,121679.0,125871.0,126761.0,131768.0,142082.0
PBR(배),0.96,0.74,0.69,0.86,0.9,0.92,0.89,0.82
현금DPS(원),3500.0,4000.0,4550.0,5100.0,5100.0,5301.0,5426.0,5544.0
현금배당수익률,2.51,3.86,5.14,4.86,4.51,4.53,4.64,4.74
현금배당성향(%),59.54,126.59,-23.33,51.09,259.3,0.63,0.46,0.36
발행주식수(보통주),20882071.0,21270888.0,21270888.0,20206888.0,19198003.0,,,
