주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,38217.0,41129.0,41698.0,45033.0,46672.0,46817.0,50512.0,53173.0
영업이익,10133.0,11719.0,13659.0,14696.0,14261.0,13281.0,14617.0,15580.0
영업이익(발표기준),10133.0,11719.0,13659.0,14701.0,14261.0,,,
세전계속사업이익,8819.0,11579.0,14144.0,15873.0,13456.0,14077.0,15173.0,16146.0
당기순이익,5593.0,8138.0,10322.0,12255.0,11642.0,10364.0,11237.0,11975.0
당기순이익(지배),5707.0,8256.0,10357.0,12308.0,11638.0,10353.0,11231.0,11964.0
당기순이익(비지배),-114.0,-118.0,-35.0,-52.0,5.0,,,
자산총계,70750.0,74187.0,86734.0,98121.0,99759.0,105223.0,112177.0,119577.0
부채총계,17095.0,17106.0,23979.0,26943.0,21461.0,22774.0,23901.0,24895.0
자본총계,53655.0,57081.0,62755.0,71178.0,78298.0,82463.0,88305.0,94728.0
자본총계(지배),52750.0,56306.0,62089.0,70452.0,77721.0,81783.0,87574.0,93907.0
자본총계(비지배),905.0,775.0,666.0,726.0,577.0,,,
자본금,9550.0,9550.0,9550.0,9550.0,9550.0,9550.0,9550.0,9550.0
영업활동현금흐름,5834.0,7652.0,12592.0,14978.0,11399.0,9989.0,11903.0,12326.0
투자활동현금흐름,-2178.0,-3429.0,-7476.0,-7026.0,-3299.0,-4466.0,-4808.0,-4417.0
재무활동현금흐름,-3899.0,-3538.0,-3810.0,-4884.0,-4338.0,-4266.0,-5131.0,-5290.0
CAPEX,1626.0,3304.0,2102.0,1617.0,3183.0,2819.0,2674.0,2598.0
FCF,4208.0,4348.0,10490.0,13360.0,8215.0,8454.0,8790.0,9858.0
이자발생부채,2183.0,2809.0,3363.0,2621.0,2789.0,,,
영업이익률,26.52,28.49,32.76,32.63,30.56,28.37,28.94,29.3
순이익률,14.64,19.79,24.75,27.21,24.95,22.14,22.25,22.52
ROE(%),11.01,15.14,17.5,18.57,15.71,12.98,13.26,13.18
ROA(%),8.06,11.23,12.83,13.26,11.77,10.11,10.34,10.33
부채비율,31.86,29.97,38.21,37.85,27.41,27.62,27.07,26.28
자본유보율,492.91,535.07,598.61,682.68,757.02,,,
EPS(원),4157.0,6013.0,7544.0,8965.0,8476.0,7541.0,8180.0,8714.0
PER(배),17.92,12.65,13.85,11.27,13.63,13.39,12.35,11.59
BPS(원),41898.0,44723.0,49290.0,55797.0,61553.0,64771.0,69357.0,74373.0
PBR(배),1.78,1.7,2.12,1.81,1.88,1.56,1.46,1.36
현금DPS(원),3200.0,3400.0,3400.0,3600.0,4000.0,4118.0,4282.0,4394.0
현금배당수익률,4.3,4.47,3.25,3.56,3.46,4.08,4.24,4.35
현금배당성향(%),70.6,51.85,41.35,36.93,43.4,0.55,0.52,0.5
발행주식수(보통주),137292497.0,137292497.0,137292497.0,137292497.0,137292497.0,,,
