주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,23018.0,24260.0,392995.0,827299.0,932964.0,992864.0,1042854.0,1079217.0
영업이익,2252.0,2715.0,14068.0,52808.0,58610.0,60853.0,65981.0,70058.0
영업이익(발표기준),2252.0,2715.0,14033.0,52982.0,58610.0,,,
세전계속사업이익,2693.0,1873.0,62881.0,43897.0,74422.0,76614.0,80814.0,84521.0
당기순이익,2023.0,1299.0,55493.0,28225.0,50665.0,55714.0,59803.0,60549.0
당기순이익(지배),2023.0,1273.0,53460.0,7656.0,16774.0,20761.0,21404.0,22517.0
당기순이익(비지배),1.0,26.0,2033.0,20569.0,33890.0,,,
자산총계,52929.0,53070.0,966338.0,1030473.0,1097769.0,1159884.0,1215900.0,1282366.0
부채총계,27921.0,27047.0,565566.0,607206.0,640205.0,651656.0,658562.0,673873.0
자본총계,25008.0,26024.0,400772.0,423267.0,457564.0,513610.0,565501.0,616186.0
자본총계(지배),25004.0,25854.0,125665.0,131124.0,136601.0,158908.0,178318.0,198240.0
자본총계(비지배),4.0,169.0,275107.0,292144.0,320963.0,,,
자본금,100.0,100.0,154.0,154.0,154.0,153.0,153.0,153.0
영업활동현금흐름,930.0,1850.0,45889.0,91107.0,69301.0,99825.0,95067.0,98897.0
투자활동현금흐름,-855.0,-1007.0,43299.0,-73805.0,-62929.0,-55034.0,-65959.0,-68063.0
재무활동현금흐름,-1902.0,-975.0,-22255.0,-16224.0,-4080.0,-8454.0,-6593.0,-5101.0
CAPEX,1046.0,1540.0,22377.0,49354.0,49719.0,38394.0,42205.0,43438.0
FCF,-116.0,310.0,23512.0,41753.0,19582.0,61210.0,48846.0,52363.0
이자발생부채,16370.0,15899.0,317217.0,313808.0,329084.0,,,
영업이익률,9.78,11.19,3.58,6.38,6.28,6.13,6.33,6.49
순이익률,8.79,5.36,14.12,3.41,5.43,5.61,5.73,5.61
ROE(%),8.54,5.01,70.56,5.96,12.53,14.05,12.69,11.96
ROA(%),3.89,2.45,10.89,2.83,4.76,4.94,5.03,4.85
부채비율,111.65,103.93,141.12,143.46,139.92,126.88,116.46,109.36
자본유보율,31264.59,32598.13,87618.9,91087.1,96552.39,,,
EPS(원),4045.0,2546.0,93713.0,10794.0,23650.0,29272.0,30178.0,31747.0
PER(배),33.37,83.86,2.57,21.26,11.97,8.98,8.71,8.28
BPS(원),55844.0,58760.0,222855.0,232535.0,242249.0,281808.0,316230.0,351560.0
PBR(배),2.42,3.63,1.08,0.99,1.17,0.93,0.83,0.75
현금DPS(원),1500.0,2000.0,3400.0,3700.0,4000.0,4567.0,4809.0,5070.0
현금배당수익률,1.11,0.94,1.41,1.61,1.41,1.74,1.83,1.93
현금배당성향(%),33.23,69.13,3.59,27.26,13.45,0.15,0.16,0.16
발행주식수(보통주),50000000.0,50000000.0,70360297.0,70360297.0,70360297.0,,,
