주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,141651.0,171256.0,187980.0,171980.0,301094.0,426169.0,456117.0,472645.0
영업이익,33798.0,51095.0,53361.0,32767.0,137213.0,223191.0,222245.0,216060.0
영업이익(발표기준),33798.0,51095.0,53361.0,32767.0,137213.0,,,
세전계속사업이익,30749.0,50477.0,52691.0,32165.0,134396.0,223782.0,221721.0,214685.0
당기순이익,28729.0,41952.0,43236.0,29605.0,106422.0,165242.0,164509.0,158967.0
당기순이익(지배),28725.0,41955.0,43224.0,29538.0,106415.0,165203.0,164468.0,158939.0
당기순이익(비지배),4.0,-3.0,12.0,67.0,7.0,,,
자산총계,207973.0,268833.0,296779.0,322160.0,454185.0,621481.0,778914.0,925932.0
부채총계,77304.0,88470.0,82902.0,81925.0,115975.0,128824.0,134510.0,141176.0
자본총계,130669.0,180363.0,213877.0,240235.0,338209.0,493005.0,644959.0,787751.0
자본총계(지배),130672.0,180365.0,213869.0,240170.0,338153.0,492800.0,644425.0,788337.0
자본총계(비지배),-4.0,-2.0,8.0,66.0,56.0,,,
자본금,35686.0,36577.0,36577.0,36577.0,36577.0,36579.0,36579.0,36579.0
영업활동현금흐름,63721.0,58667.0,93195.0,55489.0,146906.0,209224.0,240617.0,243954.0
투자활동현금흐름,-48921.0,-60878.0,-71255.0,-62305.0,-119192.0,-177187.0,-161099.0,-149877.0
재무활동현금흐름,-15000.0,283.0,-14623.0,1169.0,-3519.0,-7155.0,-13344.0,-16014.0
CAPEX,32058.0,48007.0,67746.0,59564.0,91283.0,163722.0,145022.0,129209.0
FCF,31663.0,10660.0,25449.0,-4074.0,55623.0,55788.0,107097.0,117352.0
이자발생부채,45502.0,41748.0,38186.0,43360.0,41713.0,,,
영업이익률,23.86,29.84,28.39,19.05,45.57,52.37,48.73,45.71
순이익률,20.28,24.5,23.0,17.21,35.34,38.77,36.07,33.63
ROE(%),25.19,26.98,21.93,13.01,36.8,39.76,28.92,22.19
ROA(%),14.57,17.6,15.29,9.57,27.42,30.72,23.49,18.65
부채비율,59.16,49.05,38.76,34.1,34.29,26.13,20.86,17.92
자본유보율,269.22,394.26,505.86,579.89,859.32,,,
EPS(원),4099.0,5842.0,5937.0,4057.0,14617.0,22693.0,22592.0,21832.0
PER(배),8.98,8.17,5.18,11.02,5.23,3.66,3.67,3.8
BPS(원),18399.0,24775.0,30293.0,34018.0,47897.0,71208.0,93117.0,113912.0
PBR(배),2.0,1.93,1.02,1.31,1.6,1.17,0.89,0.73
현금DPS(원),0.0,300.0,500.0,600.0,1000.0,1546.0,1868.0,2098.0
현금배당수익률,0.0,0.63,1.63,1.34,1.31,1.86,2.25,2.53
현금배당성향(%),0.0,5.21,8.17,14.34,6.63,0.07,0.08,0.1
발행주식수(보통주),710200891.0,728002365.0,728002365.0,728002365.0,728002365.0,,,
