주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,192082.0,179716.0,144706.0,139523.0,145236.0,154579.0,164083.0,176147.0
영업이익,9581.0,8781.0,-273.0,7982.0,9257.0,11601.0,11190.0,12627.0
영업이익(발표기준),9581.0,8882.0,621.0,7912.0,9257.0,,,
세전계속사업이익,701.0,-2051.0,-16127.0,-2443.0,1179.0,5440.0,6043.0,7757.0
당기순이익,187.0,-855.0,-17509.0,-2155.0,-1097.0,2870.0,3940.0,5087.0
당기순이익(지배),692.0,-947.0,-10385.0,-1708.0,-2920.0,656.0,2073.0,2923.0
당기순이익(비지배),-506.0,92.0,-7124.0,-448.0,1824.0,,,
자산총계,277255.0,275519.0,272601.0,248326.0,249623.0,248487.0,253733.0,262030.0
부채총계,198137.0,198749.0,202340.0,180097.0,183964.0,178633.0,180523.0,184607.0
자본총계,79118.0,76770.0,70261.0,68228.0,65659.0,69853.0,73210.0,77423.0
자본총계(지배),47266.0,46594.0,35807.0,34757.0,33868.0,36333.0,38367.0,41147.0
자본총계(비지배),31852.0,30176.0,34454.0,33472.0,31791.0,,,
자본금,5308.0,5968.0,5968.0,5968.0,5968.0,6590.0,6590.0,6590.0
영업활동현금흐름,1504.0,6038.0,-744.0,9676.0,4293.0,7100.0,10733.0,13297.0
투자활동현금흐름,-10484.0,-5447.0,-3797.0,8048.0,-4571.0,-6220.0,-2963.0,-5177.0
재무활동현금흐름,40.0,3263.0,10586.0,-22516.0,7036.0,-2287.0,-5483.0,-5107.0
CAPEX,4015.0,3727.0,3887.0,2909.0,2773.0,3603.0,3933.0,3933.0
FCF,-2510.0,2311.0,-4631.0,6767.0,1521.0,2255.0,2800.0,6815.0
이자발생부채,111114.0,112061.0,120261.0,97273.0,102951.0,,,
영업이익률,4.99,4.89,-0.19,5.72,6.37,7.51,6.82,7.17
순이익률,0.1,-0.48,-12.1,-1.54,-0.76,1.86,2.4,2.89
ROE(%),1.62,-2.02,-25.21,-4.84,-8.51,1.87,5.55,7.35
ROA(%),0.07,-0.31,-6.39,-0.83,-0.44,1.15,1.57,1.97
부채비율,250.43,258.89,287.98,263.96,280.18,255.73,246.58,238.44
자본유보율,731.83,660.76,431.8,394.99,352.86,,,
EPS(원),653.0,-884.0,-8701.0,-1431.0,-2447.0,522.0,1594.0,2248.0
PER(배),54.19,-26.76,-2.37,-19.01,-6.27,27.09,8.88,6.29
BPS(원),47818.0,41584.0,31956.0,29119.0,28373.0,27938.0,29501.0,31639.0
PBR(배),0.74,0.57,0.64,0.93,0.54,0.51,0.48,0.45
현금DPS(원),750.0,750.0,850.0,550.0,0.0,0.0,150.0,250.0
현금배당수익률,2.12,3.17,4.13,2.02,0.0,0.0,1.06,1.77
현금배당성향(%),107.09,-91.31,-9.28,-41.4,-5.99,,0.08,0.1
발행주식수(보통주),106158256.0,106158256.0,106158256.0,106158256.0,106463093.0,,,
