주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,166021.0,171638.0,171367.0,170918.0,175200.0,169816.0,173732.0,179584.0
영업이익,20111.0,18251.0,17080.0,15357.0,15366.0,13898.0,14791.0,16207.0
영업이익(발표기준),20111.0,18251.0,17080.0,15357.0,15366.0,,,
세전계속사업이익,18271.0,22538.0,20354.0,20961.0,34032.0,41264.0,40655.0,41282.0
당기순이익,16095.0,17993.0,15159.0,16601.0,26576.0,31770.0,31242.0,31871.0
당기순이익(지배),16390.0,18012.0,15186.0,16760.0,25998.0,31186.0,30577.0,31415.0
당기순이익(비지배),-294.0,-19.0,-27.0,-159.0,578.0,,,
자산총계,265765.0,279412.0,285814.0,312977.0,334287.0,366141.0,391217.0,419713.0
부채총계,124100.0,126930.0,132073.0,151812.0,153995.0,154328.0,156809.0,158864.0
자본총계,141666.0,152483.0,153741.0,161164.0,180292.0,211277.0,235200.0,260223.0
자본총계(지배),134524.0,145067.0,152511.0,159714.0,178421.0,210024.0,233716.0,258502.0
자본총계(비지배),7142.0,7415.0,1230.0,1450.0,1871.0,,,
자본금,446.0,446.0,446.0,446.0,446.0,447.0,447.0,447.0
영업활동현금흐름,35586.0,36774.0,37781.0,42432.0,38558.0,51261.0,47427.0,47128.0
투자활동현금흐름,-25065.0,-36832.0,-28805.0,-24622.0,-30706.0,-37213.0,-36983.0,-36709.0
재무활동현금흐름,-5732.0,-5594.0,-9646.0,-10448.0,-8266.0,-10380.0,-8639.0,-9109.0
CAPEX,28791.0,30080.0,24788.0,24905.0,27159.0,29876.0,29199.0,29202.0
FCF,6794.0,6694.0,12994.0,17527.0,11400.0,20158.0,18560.0,18429.0
이자발생부채,65427.0,69494.0,76440.0,76715.0,77717.0,,,
영업이익률,12.11,10.63,9.97,8.98,8.77,8.18,8.51,9.03
순이익률,9.7,10.48,8.85,9.71,15.17,18.71,17.98,17.75
ROE(%),12.95,12.88,10.21,10.74,15.38,16.06,13.78,12.77
ROA(%),6.17,6.6,5.36,5.54,8.21,9.07,8.25,7.86
부채비율,87.6,83.24,85.91,94.2,85.41,73.05,66.67,61.05
자본유보율,35884.28,38317.34,40152.14,42270.33,46488.12,,,
EPS(원),20298.0,22307.0,18807.0,20756.0,32198.0,38622.0,37868.0,38906.0
PER(배),11.33,12.01,11.46,10.79,8.29,6.8,6.93,6.75
BPS(원),189640.0,204504.0,215993.0,226194.0,252689.0,297445.0,330999.0,366103.0
PBR(배),1.21,1.31,1.0,0.99,1.06,0.88,0.79,0.72
현금DPS(원),9400.0,9400.0,10000.0,10000.0,10000.0,10233.0,10400.0,10429.0
현금배당수익률,4.09,3.51,4.64,4.46,3.75,3.9,3.96,3.97
현금배당성향(%),40.66,37.02,46.63,42.13,27.16,0.26,0.27,0.27
발행주식수(보통주),80745711.0,80745711.0,80745711.0,80745711.0,80745711.0,,,
