주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,34285.0,54742.0,49549.0,52008.0,63216.0,91340.0,107773.0,123365.0
영업이익,-113.0,708.0,-2675.0,-9263.0,1169.0,5844.0,7847.0,9632.0
영업이익(발표기준),-274.0,708.0,-598.0,-9263.0,1169.0,,,
세전계속사업이익,5132.0,1994.0,-1701.0,-8207.0,8241.0,9651.0,12667.0,15269.0
당기순이익,1479.0,-803.0,257.0,2111.0,6432.0,7477.0,9831.0,11794.0
당기순이익(지배),1306.0,-838.0,538.0,2194.0,6572.0,7492.0,9663.0,11626.0
당기순이익(비지배),173.0,35.0,-282.0,-83.0,-140.0,,,
자산총계,105557.0,159686.0,162253.0,149003.0,157515.0,173736.0,188775.0,206340.0
부채총계,30133.0,41416.0,49721.0,39362.0,42995.0,52100.0,58208.0,65003.0
자본총계,75424.0,118269.0,112532.0,109641.0,114520.0,121637.0,130568.0,141336.0
자본총계(지배),73781.0,115864.0,110120.0,107221.0,112573.0,119373.0,128204.0,138747.0
자본총계(비지배),1643.0,2405.0,2412.0,2420.0,1947.0,,,
자본금,2407.0,3567.0,3567.0,3567.0,3567.0,3569.0,3569.0,3569.0
영업활동현금흐름,3084.0,3106.0,8811.0,-13095.0,-2501.0,9088.0,11111.0,12317.0
투자활동현금흐름,-5042.0,-3276.0,1153.0,18543.0,893.0,-14591.0,-12116.0,-11485.0
재무활동현금흐름,-257.0,-838.0,-3547.0,-8187.0,3534.0,3939.0,2853.0,2874.0
CAPEX,6671.0,4763.0,7259.0,8326.0,9915.0,17029.0,14263.0,13821.0
FCF,-3587.0,-1657.0,1552.0,-21421.0,-12416.0,-4135.0,1203.0,2901.0
이자발생부채,11842.0,17778.0,17496.0,9505.0,15360.0,,,
영업이익률,-0.33,1.29,-5.4,-17.81,1.85,6.4,7.28,7.81
순이익률,4.31,-1.47,0.52,4.06,10.17,8.19,9.12,9.56
ROE(%),1.77,-0.88,0.48,2.02,5.98,6.46,7.81,8.71
ROA(%),1.38,-0.61,0.16,1.36,4.2,4.51,5.42,5.97
부채비율,39.95,35.02,44.18,35.9,37.54,42.83,44.58,45.99
자본유보율,2617.13,2773.92,2770.97,2810.66,2983.72,,,
EPS(원),2768.0,-1426.0,765.0,3117.0,9338.0,10645.0,13729.0,16519.0
PER(배),58.52,-81.36,149.01,34.97,21.9,22.17,17.19,14.29
BPS(원),164361.0,164959.0,156781.0,158605.0,168339.0,178508.0,191714.0,207480.0
PBR(배),0.99,0.7,0.73,0.69,1.21,1.32,1.23,1.14
현금DPS(원),1500.0,1000.0,1000.0,1000.0,1000.0,1038.0,1092.0,1106.0
현금배당수익률,0.93,0.86,0.88,0.92,0.49,0.44,0.46,0.47
현금배당성향(%),51.62,-83.86,130.58,30.9,10.19,0.1,0.08,0.07
발행주식수(보통주),45558341.0,68764530.0,68764530.0,68764530.0,68764530.0,,,
